class;TP;FP;FN;TN;precision;recall;specificity;f1;support
No Cancer;76214;5290;7567;51745;0.9351;0.9097;0.9072;0.9222;83781
Cancer;51745;7567;5290;76214;0.8724;0.9072;0.9097;0.8895;57035
;;;;;;;;;
SUMMARY;;;;;0.9038;0.9085;;0.9059;140816
