class;TP;FP;FN;TN;precision;recall;specificity;f1;support
No Cancer;83486;316;295;56719;0.9962;0.9965;0.9945;0.9964;83781
Cancer;56719;295;316;83486;0.9948;0.9945;0.9965;0.9946;57035
;;;;;;;;;
SUMMARY;;;;;0.9955;0.9955;;0.9955;140816
