class;TP;FP;FN;TN;precision;recall;specificity;f1;support
No Cancer;76479;8691;7302;48344;0.898;0.9128;0.8476;0.9053;83781
Cancer;48344;7302;8691;76479;0.8688;0.8476;0.9128;0.8581;57035
;;;;;;;;;
SUMMARY;;;;;0.8834;0.8802;;0.8817;140816
