class;TP;FP;FN;TN;precision;recall;specificity;f1;support
No Cancer;81163;9406;2556;47691;0.8961;0.9695;0.8353;0.9314;83719
Cancer;47691;2556;9406;81163;0.9491;0.8353;0.9695;0.8886;57097
;;;;;;;;;
SUMMARY;;;;;0.9226;0.9024;;0.91;140816
